,time,open_cnt,c_cnt
2276,2016-07-27 18:41:00,20,21
2277,2016-07-27 18:42:00,16,16
2278,2016-07-27 18:43:00,17,16
2279,2016-07-27 18:44:00,17,16
2280,2016-07-27 18:45:00,19,14
2281,2016-07-27 18:46:00,22,15
2282,2016-07-27 18:47:00,23,20
2283,2016-07-27 18:48:00,15,19
2284,2016-07-27 18:49:00,15,18
2285,2016-07-27 18:50:00,19,20
2286,2016-07-27 18:51:00,16,11
2287,2016-07-27 18:52:00,7,21
2288,2016-07-27 18:53:00,18,17
2289,2016-07-27 18:54:00,20,12
2290,2016-07-27 18:55:00,11,11
2291,2016-07-27 18:56:00,18,16
2292,2016-07-27 18:57:00,18,8
2293,2016-07-27 18:58:00,16,13
2294,2016-07-27 18:59:00,12,22
2295,2016-07-27 19:00:00,19,14
2296,2016-07-27 19:01:00,17,17
2297,2016-07-27 19:02:00,18,23
2298,2016-07-27 19:03:00,26,17
2299,2016-07-27 19:04:00,12,25
2300,2016-07-27 19:05:00,15,14
2301,2016-07-27 19:06:00,21,10
2302,2016-07-27 19:07:00,11,22
2303,2016-07-27 19:08:00,12,9
2304,2016-07-27 19:09:00,24,19
2305,2016-07-27 19:10:00,14,20
2306,2016-07-27 19:11:00,17,20
2307,2016-07-27 19:12:00,16,16
2308,2016-07-27 19:13:00,19,19
2309,2016-07-27 19:14:00,24,16
2310,2016-07-27 19:15:00,14,15
2311,2016-07-27 19:16:00,19,17
2312,2016-07-27 19:17:00,12,18
2313,2016-07-27 19:18:00,12,18
2314,2016-07-27 19:19:00,15,15
2315,2016-07-27 19:20:00,11,18
2316,2016-07-27 19:21:00,20,26
2317,2016-07-27 19:22:00,17,16
